Company,Profession,Record Count,Total_comp,Base_salary,Stocks,Bonus (sign-on)
Uber,Software Engineer,386,200000,148000,37000,16000
Microsoft,Software Engineer,1964,193000,140000,30000,15000
Facebook,Software Engineer,1131,195000,141000,30000,15000
Pinterest,Software Engineer,74,212000,150000,44000,19000
Amazon,Software Engineer,2677,193000,143000,31000,15000
Capital One,Software Engineer,250,185000,140000,27000,16000
Asana,Software Engineer,13,140000,110000,1000,5000
Splunk,Software Engineer,74,191000,142000,25000,15000
Accenture,Software Engineer,52,191000,135000,25000,16000
Bloomberg,Software Engineer,241,187000,140000,25000,14000
Cisco,Software Engineer,355,200019,147000,35000,17000
Deloitte,Software Engineer,23,135000,125000,10000,7000
DoorDash,Software Engineer,39,195000,150000,30000,15000
eBay,Software Engineer,159,190000,140000,28000,15000
Google,Software Engineer,1745,195000,140000,30000,15000
Intel,Software Engineer,248,195000,140000,30000,16000
Nike,Software Engineer,22,167000,126000,34000,18000
NVIDIA,Software Engineer,122,208000,150000,26000,15000
Oracle,Software Engineer,401,195000,140000,30000,15000
PayPal,Software Engineer,159,200000,144000,38000,14000
Roblox,Software Engineer,19,150000,123000,20000,12000
Salesforce,Software Engineer,470,195000,145000,30000,17000
SAP,Software Engineer,135,193000,145000,33000,16000
Visa,Software Engineer,67,215000,153000,30000,14000
VMware,Software Engineer,253,193000,140000,37000,15000
WeWork,Software Engineer,46,185000,132000,27000,8000
The Walt Disney Company,Software Engineer,32,165000,130000,36000,15000
Adobe,Software Engineer,123,181000,135000,30000,15000
Booz Allen Hamilton,Software Engineer,15,179000,150000,20000,13000
Waymo,Software Engineer,8,190000,148000,14000,17000
AMD,Software Engineer,18,200000,143000,30000,13000
Expedia,Software Engineer,121,175000,135000,22000,15000
IBM,Software Engineer,300,183000,137000,27000,15000
JP Morgan Chase,Software Engineer,171,180000,139000,24000,15000
LinkedIn,Software Engineer,333,190000,140000,29000,16000
Mozilla,Software Engineer,29,177000,131000,25000,13000
Qualcomm,Software Engineer,235,190000,140000,30000,15000
Red Hat,Software Engineer,20,150000,128000,25000,15000
Snap,Software Engineer,103,210000,140000,45000,15000
UBS,Software Engineer,9,197000,150000,37000,10000
Verizon,Software Engineer,29,183000,133000,32000,10000
Booking.com,Software Engineer,44,190000,136000,30000,15000
Groupon,Software Engineer,38,172000,140000,25000,20000
Atlassian,Software Engineer,82,195000,145000,25000,17000
ByteDance,Software Engineer,41,189000,132000,40000,17000
Dell,Software Engineer,66,197000,141000,40000,15000
Dropbox,Software Engineer,114,205000,150000,35000,20000
Goldman Sachs,Software Engineer,156,184000,137000,20000,15000
Intuit,Software Engineer,161,190000,142000,30000,15000
Palantir,Software Engineer,33,168000,130000,21000,15000
SquareSpace,Software Engineer,32,207000,150000,40000,15000
Tata Consultancy Services,Software Engineer,11,160000,130000,5000,9000
Twilio,Software Engineer,48,193000,140000,30000,19000
Wayfair,Software Engineer,106,181000,143000,30000,13000
